cat /proc/mounts for rzansel, node rzslic8
rz-nfs2-nfs.llnl.gov:/rz_g90 /g/g90 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs1-nfs.llnl.gov:/rz_g91 /g/g91 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.3,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.3 0 0
rz-nfs2-nfs.llnl.gov:/rz_g92 /g/g92 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs1-nfs.llnl.gov:/rz_g99 /g/g99 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.3,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.3 0 0
rz-nfs1-nfs.llnl.gov:/rz_dvstmp /nfs/dvstmp nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.3,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.3 0 0
rz-nfs2-nfs.llnl.gov:/rz_dnta /usr/dnta nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs2-nfs.llnl.gov:/rz_dvsprod /usr/dvsprod nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs2-nfs.llnl.gov:/rz_gapps /usr/gapps nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs2-nfs.llnl.gov:/rz_gdata /usr/gdata nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs2-nfs.llnl.gov:/rz_mic_bdiv /usr/mic/bdiv nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs2-nfs.llnl.gov:/rz_mic_dvsviz /usr/mic/dvsviz nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
animal3-nfs.llnl.gov:/rz_ws1 /usr/WS1 nfs rw,nosuid,nodev,relatime,vers=3,rsize=32768,wsize=32768,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.176,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.176 0 0
animal4-nfs.llnl.gov:/rz_ws2 /usr/WS2 nfs rw,nosuid,nodev,relatime,vers=3,rsize=32768,wsize=32768,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.177,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.177 0 0
animal3-nfs.llnl.gov:/rz_workspace /usr/workspace nfs rw,nosuid,nodev,relatime,vers=3,rsize=32768,wsize=32768,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.176,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.176 0 0
172.19.3.98@o2ib600:172.19.3.99@o2ib600:/ls1 /p/czlustre1 lustre rw,nosuid,flock,lazystatfs 0 0
172.19.3.1@o2ib600:172.19.3.2@o2ib600:/lsh /p/czlustre2 lustre rw,nosuid,flock,lazystatfs 0 0
172.19.1.165@o2ib100:172.19.1.166@o2ib100:/lustre3 /p/czlustre3 lustre rw,nosuid,flock,lazystatfs 0 0
172.21.3.1@o2ib700:172.21.3.2@o2ib700:/lsrza /p/lustre1 lustre rw,nosuid,flock,lazystatfs 0 0
